Author,Feature,Model,Accuracy,Precision,Recall,F1
AYArslan,TFIDF_Word_2gram,DecisionTree,0.2125,0.3333333333333333,0.25,0.2857142857142857
AYArslan,TFIDF_Word_2gram,MLP,0.5708333333333333,0.875,0.875,0.875
AYArslan,TFIDF_Word_2gram,NaiveBayes,0.5708333333333333,0.5384615384615384,0.875,0.6666666666666666
AYArslan,TFIDF_Word_2gram,RandomForest,0.45,0.5555555555555556,0.625,0.5882352941176471
AYArslan,TFIDF_Word_2gram,SVM,0.5333333333333333,0.7777777777777778,0.875,0.8235294117647058
AYArslan,TFIDF_Word_2gram,XGBoost,0.425,0.625,0.625,0.625
AYArslan,TFIDF_Word_3gram,DecisionTree,0.16666666666666666,0.5,0.375,0.42857142857142855
AYArslan,TFIDF_Word_3gram,MLP,0.275,1.0,0.75,0.8571428571428571
AYArslan,TFIDF_Word_3gram,NaiveBayes,0.30833333333333335,0.5833333333333334,0.875,0.7
AYArslan,TFIDF_Word_3gram,RandomForest,0.2625,1.0,0.5,0.6666666666666666
AYArslan,TFIDF_Word_3gram,SVM,0.3125,0.75,0.75,0.75
AYArslan,TFIDF_Word_3gram,XGBoost,0.19166666666666668,0.8,0.5,0.6153846153846154
BCoskun,BERT,DecisionTree,0.25416666666666665,1.0,0.75,0.8571428571428571
BCoskun,BERT,MLP,0.6041666666666666,0.875,0.875,0.875
BCoskun,BERT,RandomForest,0.5083333333333333,0.7777777777777778,0.875,0.8235294117647058
BCoskun,BERT,SVM,0.4125,0.7777777777777778,0.875,0.8235294117647058
BCoskun,BERT,XGBoost,0.4791666666666667,1.0,0.75,0.8571428571428571
BCoskun,TFIDF_Char_2gram,DecisionTree,0.6666666666666666,1.0,0.875,0.9333333333333333
BCoskun,TFIDF_Char_2gram,MLP,0.9083333333333333,1.0,1.0,1.0
BCoskun,TFIDF_Char_2gram,NaiveBayes,0.6708333333333333,1.0,0.375,0.5454545454545454
BCoskun,TFIDF_Char_2gram,RandomForest,0.8666666666666667,0.8888888888888888,1.0,0.9411764705882353
BCoskun,TFIDF_Char_2gram,SVM,0.9,1.0,0.875,0.9333333333333333
BCoskun,TFIDF_Char_2gram,XGBoost,0.8708333333333333,1.0,0.875,0.9333333333333333
BCoskun,TFIDF_Char_3gram,DecisionTree,0.5,0.7777777777777778,0.875,0.8235294117647058
BCoskun,TFIDF_Char_3gram,MLP,0.9083333333333333,1.0,1.0,1.0
BCoskun,TFIDF_Char_3gram,NaiveBayes,0.6291666666666667,1.0,0.875,0.9333333333333333
BCoskun,TFIDF_Char_3gram,RandomForest,0.8958333333333334,1.0,1.0,1.0
BCoskun,TFIDF_Char_3gram,SVM,0.8958333333333334,1.0,0.875,0.9333333333333333
BCoskun,TFIDF_Char_3gram,XGBoost,0.825,0.875,0.875,0.875
BCoskun,TFIDF_Word_2gram,DecisionTree,0.2125,0.09523809523809523,0.25,0.13793103448275862
BCoskun,TFIDF_Word_2gram,MLP,0.5708333333333333,0.2727272727272727,0.375,0.3157894736842105
BCoskun,TFIDF_Word_2gram,NaiveBayes,0.5708333333333333,0.5,0.125,0.2
BCoskun,TFIDF_Word_2gram,RandomForest,0.45,0.0625,0.125,0.08333333333333333
BCoskun,TFIDF_Word_2gram,SVM,0.5333333333333333,0.21428571428571427,0.75,0.3333333333333333
BCoskun,TFIDF_Word_2gram,XGBoost,0.425,0.15,0.375,0.21428571428571427
BCoskun,TFIDF_Word_3gram,DecisionTree,0.16666666666666666,0.2,0.125,0.15384615384615385
BCoskun,TFIDF_Word_3gram,MLP,0.275,0.16666666666666666,0.25,0.2
BCoskun,TFIDF_Word_3gram,NaiveBayes,0.30833333333333335,0.5,0.125,0.2
BCoskun,TFIDF_Word_3gram,RandomForest,0.2625,0.2,0.125,0.15384615384615385
BCoskun,TFIDF_Word_3gram,SVM,0.3125,0.16666666666666666,0.125,0.14285714285714285
BCoskun,TFIDF_Word_3gram,XGBoost,0.19166666666666668,0.10526315789473684,1.0,0.19047619047619047
CCandar,BERT,DecisionTree,0.25416666666666665,0.15384615384615385,0.25,0.19047619047619047
CCandar,BERT,MLP,0.6041666666666666,0.38461538461538464,0.625,0.47619047619047616
CCandar,BERT,RandomForest,0.5083333333333333,0.23076923076923078,0.375,0.2857142857142857
CCandar,BERT,SVM,0.4125,0.2,0.5,0.2857142857142857
CCandar,BERT,XGBoost,0.4791666666666667,0.1,0.125,0.1111111111111111
CCandar,TFIDF_Char_2gram,DecisionTree,0.6666666666666666,0.6,0.375,0.46153846153846156
CCandar,TFIDF_Char_2gram,MLP,0.9083333333333333,0.8888888888888888,1.0,0.9411764705882353
CCandar,TFIDF_Char_2gram,NaiveBayes,0.6708333333333333,1.0,0.75,0.8571428571428571
CCandar,TFIDF_Char_2gram,RandomForest,0.8666666666666667,0.875,0.875,0.875
CCandar,TFIDF_Char_2gram,SVM,0.9,1.0,0.875,0.9333333333333333
CCandar,TFIDF_Char_2gram,XGBoost,0.8708333333333333,0.8888888888888888,1.0,0.9411764705882353
CCandar,TFIDF_Char_3gram,DecisionTree,0.5,0.125,0.125,0.125
CCandar,TFIDF_Char_3gram,MLP,0.9083333333333333,0.875,0.875,0.875
CCandar,TFIDF_Char_3gram,NaiveBayes,0.6291666666666667,0.75,0.375,0.5
CCandar,TFIDF_Char_3gram,RandomForest,0.8958333333333334,0.8888888888888888,1.0,0.9411764705882353
CCandar,TFIDF_Char_3gram,SVM,0.8958333333333334,0.8571428571428571,0.75,0.8
CCandar,TFIDF_Char_3gram,XGBoost,0.825,0.875,0.875,0.875
